,address_full,lat,lon,bike_score,transit_score,walk_score
6,10018 Cedardale Dr Houston 77055,29.78997,-95.541302,,,
8,10034 Larston Houston 77055,29.789641,-95.535433,,,
14,1006 Adele St Houston 77009,29.806053,-95.386179,,,
15,1006 B Enid Houston 77009,29.807884,-95.375452,,,
16,1009 Gardendale Dr Houston 77018,29.8163436,-95.4203402,,,
17,1009 St. Charles St Houston 77003,29.755026,-95.346869,,,
34,1016 Studer St Houston 77007,29.7725768,-95.415454,,,
69,1031 Ashland St Houston 77008,29.796141,-95.403483,,,
80,1036 Walling St Houston 77009,29.8002005,-95.3810279,,,
92,105 E 2nd St Houston 77007,29.7742004,-95.393147,,,
94,1055 W 22nd St Houston 77008,29.805726,-95.418088,,,
103,1101 Genova St Houston 77009,29.785185,-95.353893,,,
109,1104 E 29th St Houston 77009,29.813271,-95.383753,,,
113,1106 Reinerman St Houston 77007,29.779897,-95.413623,,,
125,1111 Bunton Houston 77009,29.794039,-95.354152,,,
129,1114 Detering St Houston 77007,29.780593,-95.415933,,,
138,1117 E 23rd St Houston 77009,29.807546,-95.3844621,,,
146,1120 E 16th St Houston 77009,29.799838,-95.386188,,,
148,1120 W 21st St Houston 77008,29.804798,-95.425766,,,
153,1123 Malone St Houston 77007,29.7689063,-95.419331,,,
154,1123 Malone St Houston 77007,29.7689063,-95.419331,,,
155,1123 Thornton Rd Houston 77018,29.832356,-95.423062,,,
171,1132 Dunbar St Houston 77009,29.802484,-95.386033,,,
173,1135 Nadine St Houston 77009,29.8069122,-95.3810851,,,
178,1136 Dorothy St Houston 77008,29.7878615,-95.4088648814815,,,
180,1136 Oak Tree Dr Houston 77055,29.795899,-95.525763,,,
181,1139 Nadine St Houston 77009,29.8069122,-95.3810851,,,
189,1143 Lawrence Houston 77008,29.813772,-95.408224,,,
190,1145 W 18th Street Houston 77008,29.8015449,-95.4598537,,,
191,1145 W 18th Street Houston 77008,29.8015449,-95.4598537,,,
209,1207 Wrightwood Houston 77009,29.7809802,-95.3705661,,,
225,1219 Bethlehem St Houston 77018,29.837219,-95.432958,,,
241,1224 Nelson Falls Ln Houston 77008,29.7983197,-95.4199776,,,
246,1226 W 23rd St Houston 77008,29.8066926,-95.4224409,,,
255,1231 Prince St Houston 77008,29.7903249,-95.4134053,,,
275,1243 Richelieu Ln Houston 77018,29.835681,-95.4221495,,,
277,1250 Seamist Dr Houston 77008,29.795499,-95.4380761,,,
285,1262 W 23rd Houston 77008,29.8066926,-95.4224409,,,
290,1302 Oak Tree Dr Houston 77055,29.795899,-95.525763,,,
311,1310 Thornton Houston 77018,29.832356,-95.423062,,,
314,1311 Isabella St Houston 77004,29.731989,-95.373266,,,
318,1314 E 34th St Houston 77022,29.8173847,-95.3832016,,,
322,1316 Tuam St Houston 77004,29.738818,-95.3677747,,,
323,1317 Birdsall st Houston 77007,29.768901,-95.420167,,,
324,1317 Birdsall st Houston 77007,29.768901,-95.420167,,,
330,1319 Fairbanks St Houston 77009,29.8101761,-95.3610939,,,
342,"1331 W 24th St, #F Houston 77008",29.807757,-95.418138,,,
349,1335 Afton St Houston 77055,29.800383,-95.472,,,
355,1359 Du Lock Houston 77055,29.792719,-95.535316,,,
376,1409 Wheeler Houston 77004,29.7170809,-95.344831,,,
377,1410 Du Barry Ln Houston 77018,29.821531,-95.43912,,,
378,1410 Tuam St Houston 77004,29.738818,-95.3677747,,,
382,1412 Sabine St Houston 77007,29.7609681,-95.3753195,,,
384,1414 E Hilshire Park Dr Houston 77055,29.7954199,-95.4958501,,,
392,1418 Keating Houston 77003,29.7392043,-95.3415905,,,
393,1421 Beachton St Houston 77007,29.770822,-95.367866,,,
405,1428 Waseca Houston 77055,29.796162,-95.521346,,,
419,1502 Birdsall St Houston 77007,29.768901,-95.420167,,,
424,1504 Palmer St Houston 77003,29.75132,-95.342608,,,
435,1510 Dorothy St Houston 77008,29.7878615,-95.4088648814815,,,
437,1511 Elgin Street Houston 77004,29.7421785,-95.3779214,,,
438,1511 Elgin Houston 77004,29.7421785,-95.3779214,,,
451,1515 Summer St Houston 77007,29.7729656,-95.3758826,,,
453,1516 Sandman St Houston 77007,29.779193,-95.411695,,,
455,1517 Caywood Ln Houston 77055,29.795766,-95.474382,,,
459,1524 W 22nd St Houston 77008,29.805726,-95.418088,,,
466,1532 Nashua Houston 77008,29.800471,-95.412039,,,
468,1534 S Caywood Houston 77055,29.795766,-95.474382,,,
491,1608 Tabor Houston 77009,29.7999773,-95.37721,,,
493,1610 Cohn St Houston 77007,29.7700061,-95.4218366,,,
503,1618 Rosewood St Houston 77004,29.729905,-95.377443,,,
505,1619 Cohn St Houston 77007,29.7700061,-95.4218366,,,
515,1632 W 13th St Houston 77008,29.7942528,-95.4057059,,,
517,1633 Hollister St Houston 77055,29.809881,-95.5065235,,,
526,1704 Sam Wilson St Houston 77020,29.777614,-95.314314,,,
529,1705 Summer Street Houston 77007,29.7729656,-95.3758826,,,
549,1721 W 23rd St Houston 77008,29.8066926,-95.4224409,,,
555,1731 Knightwick Dr Houston 77008,29.8009214,-95.4474603,,,
556,1734 French Village Dr Houston 77055,29.8028021,-95.4865244,,,
569,1802 Gardenia Houston 77018,29.827032,-95.424159,,,
570,1802 Goliad Houston 77007,29.769335,-95.370579,,,
572,1803 Bethlehem Houston 77018,29.837219,-95.432958,,,
575,1805 Ashland St Houston 77008,29.796141,-95.403483,,,
577,1806 Dennis St Houston 77004,29.7303873,-95.3435653,,,
585,1809 Ashland St Houston 77008,29.796141,-95.403483,,,
597,1817 W 24th Houston 77008,29.807757,-95.418138,,,
638,1912 Arbor St Houston 77004,29.7261146,-95.3776141,,,
639,1912 Sam Wilson St Houston 77020,29.777614,-95.314314,,,
642,1915 Bradshaw St Houston 77008,29.803064,-95.390478,,,
647,1922 Coulcrest Dr Houston 77055,29.804778,-95.498815,,,
648,2002 Libbey Dr Houston 77018,29.830894,-95.447798,,,
650,2004 C Rosedale St Houston 77004,29.7278663,-95.3817602,,,
653,2006 Live Oak St Houston 77003,29.742543,-95.3560198,,,
655,2008 Live Oak St Houston 77003,29.742543,-95.3560198,,,
658,2009 Shearn St Houston 77007,29.7744525,-95.3758975,,,
659,201 Kelley St Houston 77009,29.8131,-95.365431,,,
675,2026 Gardenia Dr Houston 77018,29.827032,-95.424159,,,
691,208 E 25th St Houston 77008,29.8090766,-95.3974841,,,
703,2108 Couch St Houston 77008,29.807695,-95.42583,,,
707,2111 Bron Holly Dr Houston 77018,29.814359,-95.439906,,,
720,2114 Sabine St Houston 77007,29.7609681,-95.3753195,,,
721,2115 Counter Point Dr Houston 77055,29.807729,-95.479383,,,
722,2115 Keene Houston 77009,29.7787307,-95.3638272,,,
744,2206 Colorado St Houston 77007,29.770765,-95.374701,,,
768,229 Knox St Houston 77007,29.761265,-95.4209414,,,
773,2307 Rutland St Houston 77008,29.796181,-95.401286,,,
774,231 W 31st St Houston 77018,29.8152021,-95.4203253,,,
775,2310 Detering Houston 77007,29.780593,-95.415933,,,
778,2314 Del Norte St Houston 77018,29.839821,-95.449523,,,
793,2347 Brookmere Dr Houston 77008,29.806505,-95.442553,,,
796,2382 Bastrop St Houston 77004,29.742023,-95.360258,,,
803,2414 Arabelle Houston 77007,29.7804998,-95.4243357,,,
805,2418 Arabelle Houston 77007,29.7804998,-95.4243357,,,
810,2420 Maufferd Houston 77009,29.7804695,-95.3697715,,,
811,2420 Maufferd Houston 77009,29.7804695,-95.3697715,,,
816,2431 Beall St Houston 77008,29.802714,-95.418027,,,
820,2502 Del Norte St Houston 77018,29.839821,-95.449523,,,
822,2503 Brinkman St Houston 77008,29.808826,-95.414769,,,
828,2506 Rutland St Houston 77008,29.796181,-95.401286,,,
830,2508 Everett Houston 77009,29.784528,-95.36379,,,
838,2521 Judiway Houston 77018,29.8207164,-95.429474,,,
845,2603 W T C Jester Blv Houston 77008,29.8049467,-95.4355644,,,
881,2705 Kennedy Street Houston 77003,29.7589896,-95.3398135,,,
885,2707 Sherwin St Houston 77007,29.7804736,-95.4266205,,,
892,2715 Barbee St Houston 77004,29.731611,-95.377379,,,
894,2717 Morrison St Houston 77009,29.784864,-95.373104,,,
902,2803 Cornell Houston 77009,29.8114898,-95.3892424,,,
905,2809 St Emanuel Houston 77004,29.727398,-95.37477,,,
906,2809 Wheeler St Houston 77004,29.7170809,-95.344831,,,
909,2817 Southmore Blv Houston 77004,29.7172366,-95.3685733,,,
915,2821 Pease St Houston 77003,29.7495292,-95.3654122,,,
919,2902 Eagle St Houston 77004,29.730164,-95.373454,,,
920,2902 Houston Ave Houston 77009,29.789787,-95.372127,,,
921,2903 SW Wichita St Houston 77004,29.713384,-95.353136,,,
924,2906 Southmore Blv Houston 77004,29.7172366,-95.3685733,,,
925,2906 Southmore Blvd Houston 77004,29.7172366,-95.3685733,,,
928,2909 Wheeler St Houston 77004,29.7170809,-95.344831,,,
929,2910 Barbee St Houston 77004,29.731611,-95.377379,,,
932,2940 Rusk Houston 77003,29.761383,-95.368439,,,
936,3002 Isabella Houston 77004,29.731989,-95.373266,,,
940,3004 Austin St Houston 77004,29.747401,-95.367393,,,
958,3023 Guese Rd Houston 77018,29.820681,-95.4327871,,,
998,311 Ennis St Houston 77003,29.751029,-95.343851,,,
1005,3120 Hadley Houston 77004,29.733594,-95.345472,,,
1007,3140 Webster St Houston 77004,29.736221,-95.350479,,,
1008,315 Detering St Houston 77007,29.780593,-95.415933,,,
1022,3216 La Branch St Houston 77004,29.7521241,-95.3623996,,,
1029,3229 Prospect St Houston 77004,29.7241659,-95.3833518,,,
1030,323 N Everton St Houston 77003,29.7556545,-95.3330712,,,
1039,328 W 33rd St Houston 77018,29.817238,-95.404182,,,
1042,3303 Wentworth St Houston 77004,29.7308598,-95.384292,,,
1055,3320 A Cornell St Houston 77022,29.815259,-95.389325,,,
1069,3417 Engelke St Houston 77003,29.7514187,-95.3301529,,,
1070,3418 Center Street Houston 77007,29.7699659,-95.3931667,,,
1072,3424 Center St Houston 77007,29.7699659,-95.3931667,,,
1073,3432 Palm St Houston 77004,29.7188409,-95.3697971,,,
1081,3507 Canfield St Houston 77004,29.725483,-95.352798,,,
1090,3518 Sampson St Houston 77004,29.731554,-95.352306,,,
1102,3713 Brookwoods Dr Houston 77092,29.812534,-95.451873,,,
1105,3802 Antoine Dr Houston 77092,29.8488039,-95.4732458,,,
