,address_full,lat,lon,bike_score,transit_score,walk_score
0,0 E 39th St Houston 77018,,,,,
1,10 N Hutcheson Houston 77003,,,,,
2,10 N Hutcheson Houston 77003,,,,,
3,1001 21st Houston 77008,29.8050758,-95.3911047,65,47,69
4,1001 W 21st Houston 77008,,,,,
5,1001 W 8th St Houston 77007,29.785086,-95.403271,75,42,52
6,1002 E 25th St Houston 77009,29.8089024,-95.3958918,62,43,69
7,1005 Bingham #2 Houston 77007,29.7717963,-95.3700728,,,
8,1005 Bingham #2 Houston 77007,29.7717963,-95.3700728,,,
9,1005 Bingham #3 Houston 77007,29.7717963,-95.3700728,,,
10,1005 Bingham #3 Houston 77007,29.7717963,-95.3700728,,,
11,1009 St. Charles Houston 77003,,,,,
12,1010 E Temple St Houston 77009,,,,,
13,1010 Studer St Houston 77007,29.7725768,-95.415454,65,42,82
14,1010 W 24th St #D Houston 77008,,,,,
15,1010 W 24th St #F Houston 77008,,,,,
16,1011 Green Kensington Houston 77008,,,,,
17,1012 Archer St Houston 77009,29.7971341,-95.3738203,50,56,67
18,1012 E 7th 1/2 St Houston 77009,,,,,
19,1013 E 27th St Houston 77009,29.8114386,-95.3924352,59,44,59
20,1014 Adele St Houston 77009,29.806053,-95.386179,62,46,69
21,1014 E 16th St Houston 77009,29.799838,-95.386188,61,46,77
22,1014 Green Kensington Houston 77008,,,,,
23,1015 Green Kensington Houston 77008,,,,,
24,1016 Adele St Houston 77009,29.806053,-95.386179,62,46,69
25,1016 Fugate Houston 77009,,,,,
26,1016 W Cottage St Houston 77009,29.7922555,-95.3860703,64,47,78
27,1016A Lawrence Houston 77008,29.813772,-95.408224,66,42,57
28,1017 E 26th St Houston 77009,29.811219,-95.383754,59,47,64
29,1018 Omar St Houston 77009,29.788054,-95.384311,65,45,75
30,1020 E 16th St Houston 77009,29.799838,-95.386188,61,46,77
31,1020 Green Kensington Houston 77008,,,,,
32,1022 Green Kensington Houston 77008,,,,,
33,1022 Harbor St Houston 77020,29.780108,-95.29481,48,35,57
34,1023 Green Kensington Houston 77008,,,,,
35,1023 W 7th 1/2 St Houston 77007,,,,,
36,1024 Patterson Street Houston 77007,29.7769985,-95.4062857,57,45,75
37,1024 Patterson Street Houston 77007,29.7769985,-95.4062857,57,45,75
38,1024 Richelieu Ln Houston 77018,29.835681,-95.4221495,40,42,26
39,1024 Wagner Houston 77007,29.77015,-95.394891,63,46,73
40,1025 Green Kensington Houston 77008,,,,,
41,1025 Green Kensington Houston 77008,,,,,
42,1026 Green Kensington Houston 77008,,,,,
43,1026 Green Kensington Houston 77008,,,,,
44,1027 Green Kensington Houston 77008,,,,,
45,1028 Green Kensington Houston 77008,,,,,
46,1028 Green Kensington Houston 77008,,,,,
47,1028 W 24th St Houston 77008,29.807757,-95.418138,58,41,54
48,1029 Adele St Houston 77009,29.806053,-95.386179,62,46,69
49,1029 Green Kensington Houston 77008,,,,,
50,1029 Green Kensington Houston 77008,,,,,
51,1030 Green Kensington Houston 77008,,,,,
52,1030 Green Kensington Houston 77008,,,,,
53,1030 Patterson Street Houston 77007,29.7769985,-95.4062857,57,45,75
54,1030 W 26th St  C Houston 77008,,,,,
55,1030 W 26th St. D Houston 77008,,,,,
56,1030 W 43rd St Houston 77018,29.8326677,-95.4454245,44,34,45
57,1031 Curtin St Houston 77018,29.8315692,-95.41662035,49,44,26
58,1031 W 21st ST D Houston 77008,,,,,
59,1031 Walling St Houston 77009,29.8002005,-95.3810279,59,50,80
60,1033 Candlelight Ln Houston 77018,29.8364021,-95.4298315,49,41,53
61,1034 Chantilly Ln Houston 77018,29.828882,-95.44152,43,37,45
62,1034 Chantilly Ln Houston 77018,29.828882,-95.44152,43,37,45
63,1034 Lawrence St Houston 77008,29.813772,-95.408224,66,42,57
64,1034 Nashua St Houston 77008,29.8002188,-95.4122068,62,43,71
65,1034 Peddie St Houston 77009,29.799143,-95.386172,62,48,80
66,1034 Wynnwood Ln Houston 77008,29.793986,-95.440727,46,40,35
67,1038 Candlelight Ln Houston 77018,29.8364021,-95.4298315,49,41,53
68,1038 W 21st Houston 77008,,,,,
69,1038 W Temple St Houston 77009,,,,,
70,1043 W 30th St Houston 77018,29.8138587,-95.4114043,65,41,64
71,1045 Voight St Houston 77009,29.7801162,-95.3870964,72,39,66
72,1045 W 22nd St  G Houston 77008,,,,,
73,1046 W 23rd St  B Houston 77008,,,,,
74,1046 W 23rd St  E Houston 77008,,,,,
75,1047 W 43rd St Houston 77018,29.8326677,-95.4454245,44,34,45
76,105 Detering St  C Houston 77007,,,,,
77,105 E 2nd Houston 77007,,,,,
78,1059 W 17th St Houston 77008,29.800744,-95.410088,68,44,76
79,1059 W 43rd St Houston 77018,29.8326677,-95.4454245,44,34,45
80,107 E 25th St Houston 77008,29.8090766,-95.3974841,63,43,72
81,107 E 2nd St Houston 77007,29.7742004,-95.393147,58,45,55
82,108 N Hutcheson Houston 77003,,,,,
83,108 W 10th 1/2 St Houston 77008,,,,,
84,110 N Burr St Houston 77011,29.748773,-95.324606,66,61,55
85,1102 Reinerman St Houston 77007,29.779897,-95.413623,58,37,72
86,1103 E 24th St Houston 77009,29.808143,-95.391233,62,46,63
87,1103 Shepherd Oaks Houston 77018,,,,,
88,1103 Summer Houston 77007,29.7729656,-95.3758826,77,58,73
89,1103 Walton St Houston 77009,29.812466,-95.376249,53,54,49
90,1104 Reinerman St Houston 77007,29.779897,-95.413623,58,37,72
91,1105 Patterson Houston 77007,29.7769985,-95.4062857,57,45,75
92,1106 Bingham St Houston 77007,29.7717963,-95.3700728,75,76,67
93,1107 Omar St Houston 77009,29.788054,-95.384311,65,45,75
94,1107 Tabor St Houston 77009,29.7999773,-95.37721,57,54,70
95,1107 W 21st St #B Houston 77008,,,,,
96,1107 W 21st St Unit B Houston 77008,,,,,
97,1108 Louise St Houston 77009,29.8053479,-95.3844428,63,47,71
98,1108 W 15th 1/2 Houston 77008,,,,,
99,1108 W 7th St Houston 77007,29.7834399,-95.4091266,69,39,72
100,1109 E 14th St Houston 77009,29.7963516,-95.3890928,62,49,66
101,1109 W 15th 1/2 St Houston 77008,,,,,
102,1110 E 37th St Houston 77022,29.819719,-95.394713,61,44,59
103,1110 Hamblen St Houston 77009,29.806809,-95.354482,55,48,48
104,1111 Louise St Houston 77009,29.8053479,-95.3844428,63,47,71
105,1111 W 24th St Houston 77008,29.807757,-95.418138,58,41,54
106,1113 Bunton Houston 77009,29.794039,-95.354152,51,52,61
